[SYS] 2025/11/17 - 10:13:15 | 未找到 .env 文件，使用默认环境变量，如果需要，请创建 .env 文件并设置相关变量 
[SYS] 2025/11/17 - 14:09:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:09:16 | syncing options from database 
[SYS] 2025/11/17 - 14:09:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:09:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:09:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:09:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:09:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:09:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:10:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:10:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:10:16 | syncing options from database 
[SYS] 2025/11/17 - 14:10:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:10:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:10:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:10:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:10:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:10:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:11:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:11:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:11:16 | syncing options from database 
[SYS] 2025/11/17 - 14:11:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:11:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:11:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:11:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:11:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:11:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:12:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:12:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:12:16 | syncing options from database 
[SYS] 2025/11/17 - 14:12:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:12:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:12:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:12:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:12:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:12:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:13:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:13:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:13:16 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 14:13:16 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 14:13:16 | syncing options from database 
[SYS] 2025/11/17 - 14:13:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:13:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:13:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:13:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:13:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:13:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:14:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:14:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:14:16 | syncing options from database 
[SYS] 2025/11/17 - 14:14:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:14:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:14:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:14:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:14:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:14:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:15:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:15:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:15:16 | syncing options from database 
[SYS] 2025/11/17 - 14:15:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:15:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:15:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:15:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:15:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:15:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:16:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:16:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:16:16 | syncing options from database 
[SYS] 2025/11/17 - 14:16:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:16:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:16:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:16:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:16:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:16:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:17:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:17:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:17:16 | syncing options from database 
[SYS] 2025/11/17 - 14:17:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:17:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:17:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:17:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:17:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:17:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:18:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:18:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:18:16 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 14:18:16 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 14:18:16 | syncing options from database 
[SYS] 2025/11/17 - 14:18:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:18:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:18:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:18:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:18:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:18:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:19:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:19:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:19:16 | syncing options from database 
[SYS] 2025/11/17 - 14:19:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:19:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:19:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:19:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:19:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:19:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:20:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:20:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:20:16 | syncing options from database 
[SYS] 2025/11/17 - 14:20:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:20:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:20:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:20:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:20:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:20:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:21:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:21:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:21:16 | syncing options from database 
[SYS] 2025/11/17 - 14:21:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:21:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:21:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:21:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:21:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:21:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:22:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:22:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:22:16 | syncing options from database 
[SYS] 2025/11/17 - 14:22:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:22:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:22:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:22:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:22:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:22:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:23:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:23:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:23:16 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 14:23:16 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 14:23:16 | syncing options from database 
[SYS] 2025/11/17 - 14:23:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:23:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:23:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:23:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:23:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:23:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:24:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:24:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:24:16 | syncing options from database 
[SYS] 2025/11/17 - 14:24:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:24:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:24:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:24:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:24:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:24:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:25:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:25:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:25:16 | syncing options from database 
[SYS] 2025/11/17 - 14:25:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:25:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:25:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:25:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:25:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:25:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:26:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:26:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:26:16 | syncing options from database 
[SYS] 2025/11/17 - 14:26:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:26:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:26:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:26:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:26:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:26:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:27:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:27:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:27:16 | syncing options from database 
[SYS] 2025/11/17 - 14:27:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:27:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:27:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:27:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:27:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:27:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:28:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:28:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:28:16 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 14:28:16 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 14:28:16 | syncing options from database 
[SYS] 2025/11/17 - 14:28:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:28:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:28:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:28:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:28:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:28:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:29:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:29:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:29:16 | syncing options from database 
[SYS] 2025/11/17 - 14:29:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:29:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:29:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:29:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:29:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:29:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:30:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:30:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:30:16 | syncing options from database 
[SYS] 2025/11/17 - 14:30:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:30:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:30:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:30:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:30:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:30:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:31:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:31:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:31:16 | syncing options from database 
[SYS] 2025/11/17 - 14:31:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:31:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:31:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:31:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:31:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:31:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:32:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:32:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:32:16 | syncing options from database 
[SYS] 2025/11/17 - 14:32:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:32:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:32:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:32:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:32:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:32:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:33:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:33:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:33:16 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 14:33:16 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 14:33:16 | syncing options from database 
[SYS] 2025/11/17 - 14:33:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:33:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:33:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:33:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:33:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:33:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:34:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:34:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:34:16 | syncing options from database 
[SYS] 2025/11/17 - 14:34:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:34:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:34:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:34:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:34:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:34:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:35:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:35:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:35:16 | syncing options from database 
[SYS] 2025/11/17 - 14:35:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:35:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:35:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:35:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:35:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:35:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:36:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:36:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:36:16 | syncing options from database 
[SYS] 2025/11/17 - 14:36:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:36:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:36:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:36:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:36:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:36:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:37:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:37:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:37:16 | syncing options from database 
[SYS] 2025/11/17 - 14:37:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:37:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:37:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:37:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:37:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:37:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:38:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:38:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:38:16 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 14:38:16 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 14:38:16 | syncing options from database 
[SYS] 2025/11/17 - 14:38:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:38:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:38:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:38:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:38:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:38:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:39:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:39:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:39:16 | syncing options from database 
[SYS] 2025/11/17 - 14:39:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:39:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:39:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:39:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:39:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:39:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:40:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:40:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:40:16 | syncing options from database 
[SYS] 2025/11/17 - 14:40:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:40:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:40:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:40:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:40:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:40:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:41:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:41:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:41:16 | syncing options from database 
[SYS] 2025/11/17 - 14:41:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:41:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:41:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:41:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:41:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:41:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:42:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:42:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:42:16 | syncing options from database 
[SYS] 2025/11/17 - 14:42:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:42:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:42:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:42:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:42:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:42:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:43:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:43:02 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:43:16 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 14:43:16 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 14:43:16 | syncing options from database 
[SYS] 2025/11/17 - 14:43:17 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:43:17 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:43:32 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:43:32 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:43:47 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:43:47 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:44:02 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:44:03 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:44:16 | syncing options from database 
[SYS] 2025/11/17 - 14:44:18 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:44:18 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:44:33 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:44:33 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:44:48 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:44:48 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:45:03 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:45:03 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:45:16 | syncing options from database 
[SYS] 2025/11/17 - 14:45:18 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:45:18 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:45:33 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:45:33 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:45:48 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:45:48 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:46:03 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:46:03 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:46:16 | syncing options from database 
[SYS] 2025/11/17 - 14:46:18 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:46:18 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:46:33 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:46:33 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:46:48 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:46:48 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:47:03 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:47:03 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:47:16 | syncing options from database 
[SYS] 2025/11/17 - 14:47:18 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:47:18 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:47:33 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:47:33 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:47:48 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:47:48 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:48:03 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:48:03 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:48:16 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 14:48:16 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 14:48:16 | syncing options from database 
[SYS] 2025/11/17 - 14:48:18 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:48:18 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:48:33 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:48:33 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:48:48 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:48:48 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:49:03 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:49:03 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:49:16 | syncing options from database 
[SYS] 2025/11/17 - 14:49:18 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:49:18 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:49:33 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:49:33 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:49:48 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:49:48 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:50:03 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:50:03 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:50:16 | syncing options from database 
[SYS] 2025/11/17 - 14:50:18 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:50:18 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:50:33 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:50:33 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:50:48 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:50:48 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:51:03 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:51:03 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:51:16 | syncing options from database 
[SYS] 2025/11/17 - 14:51:18 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:51:18 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:51:33 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:51:33 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:51:48 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:51:48 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:52:03 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:52:03 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:52:16 | syncing options from database 
[SYS] 2025/11/17 - 14:52:18 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:52:18 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:52:33 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:52:33 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:52:48 | 任务进度轮询开始 
[SYS] 2025/11/17 - 14:52:48 | 任务进度轮询完成 
[SYS] 2025/11/17 - 14:53:03 | 任务进度轮询开始 
